id,query,target_price,product_title,product_link,source,last_price,last_checked
1,Haagen Dazs Dulce de Leche Ice Cream,2.49,Haagen Dazs Dulce de Leche Ice Cream,"https://www.google.com/search?ibp=oshop&q=Haagen Dazs Dulce de Leche Ice Cream&prds=catalogid:14104146735702294454,productid:10824603046332777463,headlineOfferDocid:14814254572423077020,imageDocid:13984771988826059343,rds:PC_2070442157922345045|PROD_PC_2070442157922345045,gpcid:2070442157922345045,mid:576462860350930449,pvt:hg&hl=en&gl=us&udm=28",Hy-Vee,3.69,2026-07-13 14:21:05
2,Canon EOS Rebel T7 Camera,350.0,Canon EOS Rebel T7 Camera,"https://www.google.com/search?ibp=oshop&q=Canon EOS Rebel T7 Camera&prds=catalogid:8329996206684919335,productid:9902640491047214292,headlineOfferDocid:10977327227485035922,imageDocid:3998456483255084240,rds:PC_15715899602056047720|PROD_PC_15715899602056047720,gpcid:15715899602056047720,mid:576462804302019343,pvt:hg&hl=en&gl=us&udm=28",Best Buy,599.99,2026-07-13 14:21:05
3,HP DeskJet 2952 Wireless All in One Color Inkjet Printer Scanner Copier 3 months Free Instant Ink,59.0,Hp DeskJet 2952 All-in-One Printer,"https://www.google.com/search?ibp=oshop&q=HP DeskJet 2952 Wireless All in One Color Inkjet Printer Scanner Copier 3 months Free Instant Ink&prds=catalogid:14222635829655518499,productid:14183335258298300479,headlineOfferDocid:6851534117681060583,imageDocid:14621475414521047324,rds:PC_5973437505095349526|PROD_PC_5973437505095349526,gpcid:5973437505095349526,pvt:hg&hl=en&gl=us&udm=28",Walmart,59.0,2026-07-13 14:21:06
